Tipo de compresión;Tiempo de compresión;Tiempo de descompresión;Tamaño original;Tamaño comprimido
huffman;6188.62;843.055;20000000;11364651
huffman;5503.26;804.864;20000000;11428908
huffman;6177.56;798.693;20000000;11348635
huffman;5836.07;791.39;20000000;11360082
huffman;5316.08;774.725;20000000;11324125
huffman;6285.49;784.538;20000000;11353256
huffman;5400.76;764.185;20000000;11294808
huffman;5499.29;790.235;20000000;11483280
huffman;5470.32;760.964;20000000;11396799
huffman;5862.74;775.712;20000000;11365290
huffman;5295.1;780.76;20000000;11383507
huffman;5261.28;785.274;20000000;11447262
huffman;5739.49;775.27;20000000;11334707
huffman;6163.61;736.931;20000000;11323693
huffman;5544.62;763.429;20000000;11431996
huffman;5248.09;728.091;20000000;11294567
huffman;6151.92;767.794;20000000;11327782
huffman;5254.99;781.852;20000000;11462844
huffman;5458.35;746.865;20000000;11473524
huffman;5349.16;760.188;20000000;11270531
huffman;10997.4;1569.25;40000000;22889832
huffman;11165.9;1529.84;40000000;22637501
huffman;10908.4;1491.53;40000000;22551911
huffman;11291.1;1576.22;40000000;22744953
huffman;11142.4;1557.14;40000000;22801388
huffman;12692.7;1553.15;40000000;22669768
huffman;14511;7384.89;40000000;22772285
huffman;15420.7;2442.94;40000000;22865589
huffman;11219.9;1509.03;40000000;22695611
huffman;10627.4;1528.49;40000000;22741310
huffman;11120.9;1508.93;40000000;22585003
huffman;10586.6;1514.21;40000000;22714878
huffman;11405.3;1553.64;40000000;22901129
huffman;12574.7;1484.88;40000000;22531467
huffman;10744.8;1580.87;40000000;22836659
huffman;13410;1547.42;40000000;22754675
huffman;11008.2;1477.81;40000000;22443436
huffman;10881.5;1600.83;40000000;22761014
huffman;10805;1504.37;40000000;22600382
huffman;11518.6;1520.67;40000000;22643700
huffman;16219.4;2323.01;60000000;34520890
huffman;25000.6;10912.9;60000000;34321383
huffman;16034.2;2297.32;60000000;33926752
huffman;17130.7;2315.17;60000000;34084985
huffman;16051.5;2278.68;60000000;34120512
huffman;16806.8;2240.64;60000000;33994004
huffman;20071.1;2339.53;60000000;34181561
huffman;16511.7;2280.73;60000000;34316595
huffman;16923.1;2295.19;60000000;34159570
huffman;16078.3;2392.4;60000000;34371866
huffman;16097.1;2290.09;60000000;34131490
huffman;16010.8;2292.65;60000000;33996715
huffman;17319.9;2300.22;60000000;34259345
huffman;17130.5;2238.16;60000000;34252587
huffman;19651.1;2268.78;60000000;33866125
huffman;15812.6;2311;60000000;34276387
huffman;16687.7;2302.46;60000000;34298070
huffman;15901.9;2300.82;60000000;34106084
huffman;15914.2;2307.5;60000000;34107491
huffman;15821.5;2352.07;60000000;34266658
huffman;21147.9;3138.39;80000000;45639550
huffman;22033.4;3167.19;80000000;45943584
huffman;22018.1;3164.78;80000000;45939803
huffman;21797.5;3107.68;80000000;45544399
huffman;24727.6;3070.11;80000000;45360223
huffman;21627;3044.27;80000000;45391318
huffman;22555;3132.14;80000000;45470166
huffman;23171.4;3069.45;80000000;45688868
huffman;21151.5;3085.01;80000000;45402814
huffman;21286.8;3099.15;80000000;45574153
huffman;21116.4;3068.11;80000000;45558024
huffman;23095.8;3130.5;80000000;45810008
huffman;21082.9;3112.37;80000000;45691723
huffman;21963.6;3123.39;80000000;45512963
huffman;24485.8;3031.06;80000000;45431396
huffman;21142.9;3070.26;80000000;45333590
huffman;21141.2;3094.36;80000000;45683237
huffman;21225.1;3114.39;80000000;45592876
huffman;21591.2;3104.3;80000000;45450457
huffman;23124.4;3094.44;80000000;45814145
huffman;26501.9;3844.2;100000000;56768249
huffman;27095.9;3876.8;100000000;57074303
huffman;27385.4;3891.33;100000000;57073570
huffman;26857;3886.6;100000000;56868454
huffman;30712.9;3780.2;100000000;56885595
huffman;26384.2;3841.9;100000000;56814836
huffman;26445.9;3837.39;100000000;56658396
huffman;27044.4;3812.57;100000000;56560638
huffman;26254.6;3858.64;100000000;56798945
huffman;29123.5;3836.52;100000000;57724114
huffman;26423.6;3802.18;100000000;56733469
huffman;26687.7;3766.41;100000000;56492250
huffman;27304.3;3824.63;100000000;57110769
huffman;26431.6;3789.33;100000000;56838028
huffman;26913.5;3892.93;100000000;57014946
huffman;26711;3896.82;100000000;57125055
huffman;26829;3891.52;100000000;56841794
huffman;31968;3852.88;100000000;56835445
huffman;26569.8;3880.7;100000000;56902686
huffman;26615;3882.63;100000000;57110374
huffman;34275.8;4617.24;120000000;68253383
huffman;31957;4706.46;120000000;68526853
huffman;31799.6;4626.99;120000000;68467157
huffman;33937.2;4656.73;120000000;68508081
huffman;31713.2;4499.9;120000000;67830011
huffman;32020.9;4577.63;120000000;68626171
huffman;36036.7;4541.68;120000000;68315171
huffman;35230.4;4633.72;120000000;68337171
huffman;31600.8;4660.04;120000000;68463869
huffman;31935.5;4566.7;120000000;68095623
huffman;31981.4;4643.93;120000000;68522072
huffman;32558.9;4619.12;120000000;68368724
huffman;31909.6;4585.2;120000000;68698368
huffman;32442.2;4512;120000000;67911124
huffman;34519.2;4647.83;120000000;68345717
huffman;31982.6;4692.19;120000000;68525320
huffman;36803.3;4582.5;120000000;68136184
huffman;34124;4662.03;120000000;68642272
huffman;31758.9;4587.62;120000000;68425006
huffman;32559.3;4634.51;120000000;68491233
huffman;37315.6;5513.67;140000000;80218995
huffman;36899.9;5467.37;140000000;80017885
huffman;37207.1;5440.65;140000000;79577666
huffman;39091.4;5603.98;140000000;80515934
huffman;37037.7;5377.37;140000000;79218167
huffman;41909.3;5347.75;140000000;79352842
huffman;36997.4;5354.29;140000000;79534712
huffman;39365.9;5570.39;140000000;80502700
huffman;37126.6;5613.64;140000000;80305969
huffman;36981.5;5377.49;140000000;79632860
huffman;37273.7;5386.44;140000000;79580051
huffman;40372.4;5444.05;140000000;79802175
huffman;42747.6;5430.72;140000000;79714276
huffman;37480.2;5483.43;140000000;79805436
huffman;38889.3;5253.67;140000000;79665944
huffman;38920.2;5578.35;140000000;80504129
huffman;37694.5;5443.06;140000000;79614132
huffman;37253.5;5422.25;140000000;79583510
huffman;40762.9;5490.39;140000000;80492126
huffman;37486.1;5450.46;140000000;79625557
huffman;42774.9;6052.71;160000000;90908765
huffman;46784.9;6177.71;160000000;91175680
huffman;42170.9;6171.63;160000000;91263067
huffman;46944.2;6285.35;160000000;91903168
huffman;42363.5;6247.6;160000000;91296039
huffman;46105.2;6248.91;160000000;91805171
huffman;50362.6;6175.17;160000000;91153780
huffman;42572.8;6150.46;160000000;90957363
huffman;47280.8;5973.81;160000000;90825699
huffman;42568.7;6403.88;160000000;91254994
huffman;42656.8;6171.54;160000000;91170017
huffman;43242.2;6186.71;160000000;91491377
huffman;42395.1;6108.55;160000000;91128326
huffman;42866.4;5987.8;160000000;90912522
huffman;43621.9;6161.53;160000000;90819466
huffman;42871.8;6020.65;160000000;90910980
huffman;42920;6219.07;160000000;90940973
huffman;42987.8;6271.52;160000000;91637137
huffman;42259.3;6239.11;160000000;91354167
huffman;43064.7;6050.92;160000000;90901520
huffman;47626.7;6968.54;180000000;102368304
huffman;47578.6;6687.26;180000000;102498071
huffman;47611;6898.45;180000000;102273837
