Tipo de compresión;Tiempo de compresión;Tiempo de descompresión;Tamaño original;Tamaño comprimido
huffman;280.18;38.7737;1000000;565352
huffman;272.081;36.712;1000000;573581
huffman;265.391;36.1827;1000000;569170
huffman;265.604;36.007;1000000;564834
huffman;272.418;37.3264;1000000;571722
huffman;266.76;36.7433;1000000;566984
huffman;263.281;35.2091;1000000;556861
huffman;266.043;36.5894;1000000;562614
huffman;264.247;36.2877;1000000;573197
huffman;265.708;35.8787;1000000;566111
huffman;264.202;35.5377;1000000;568218
huffman;265.956;36.7356;1000000;569038
huffman;264.256;35.5047;1000000;562634
huffman;266.011;36.3332;1000000;566026
huffman;263.728;34.5359;1000000;557808
huffman;266.583;36.7033;1000000;566266
huffman;263.271;36.35;1000000;569713
huffman;266.049;36.6666;1000000;578138
huffman;263.538;35.5884;1000000;561642
huffman;265.914;35.37;1000000;565554
huffman;530.695;73.3326;2000000;1136478
huffman;556.228;73.1025;2000000;1153776
huffman;537.015;74.4842;2000000;1176365
huffman;641.748;71.3335;2000000;1133107
huffman;577.11;70.8155;2000000;1118129
huffman;532.373;72.7229;2000000;1137632
huffman;601.952;72.9793;2000000;1129129
huffman;545.19;71.6991;2000000;1127994
huffman;535.499;70.594;2000000;1121470
huffman;643.434;71.6206;2000000;1134581
huffman;592.927;75.4063;2000000;1149917
huffman;527.854;69.5453;2000000;1120275
huffman;590.153;73.0634;2000000;1132455
huffman;528.823;72.4149;2000000;1132300
huffman;541.595;71.5125;2000000;1119696
huffman;531.975;75.3714;2000000;1141307
huffman;535.047;69.8746;2000000;1133687
huffman;584.31;72.7231;2000000;1135854
huffman;549.067;72.5239;2000000;1147760
huffman;533.911;73.1684;2000000;1132784
huffman;794.914;107.532;3000000;1683165
huffman;797.502;106.128;3000000;1698857
huffman;810.401;107.515;3000000;1673434
huffman;822.673;108.581;3000000;1694403
huffman;841.451;104.925;3000000;1699247
huffman;829.636;104.394;3000000;1685679
huffman;833.124;109.149;3000000;1702351
huffman;835.614;105.621;3000000;1732091
huffman;966.42;110.691;3000000;1721215
huffman;800.498;108.475;3000000;1683096
huffman;799.421;103.862;3000000;1686786
huffman;964.675;101.811;3000000;1680511
huffman;793.634;110.567;3000000;1701017
huffman;791.385;105.204;3000000;1680852
huffman;798.645;111.006;3000000;1711902
huffman;799.354;106.457;3000000;1716526
huffman;793.22;108.767;3000000;1690980
huffman;945.937;108.289;3000000;1727678
huffman;845.048;110.705;3000000;1714479
huffman;799.861;105.818;3000000;1694866
huffman;1083.37;143.204;4000000;2279108
huffman;1302.45;149.027;4000000;2306337
huffman;1223.42;143.247;4000000;2286702
huffman;1060.91;148.096;4000000;2296488
huffman;1063.93;140.603;4000000;2258314
huffman;1065.31;146.401;4000000;2271321
huffman;1064.26;140.722;4000000;2247873
huffman;1242.03;145.008;4000000;2265623
huffman;1057.09;141.438;4000000;2237965
huffman;1064.74;146.506;4000000;2282380
huffman;1061.45;145.246;4000000;2256817
huffman;1110.44;143.932;4000000;2273784
huffman;1075.36;144.159;4000000;2267924
huffman;1057.16;146.577;4000000;2277035
huffman;1265.55;137.635;4000000;2240382
huffman;1057.92;146.075;4000000;2257931
huffman;1071.21;146.306;4000000;2333043
huffman;1054.59;146.649;4000000;2291883
huffman;1065.42;146.434;4000000;2273373
huffman;1216.19;145.74;4000000;2282645
huffman;1587.16;174.932;5000000;2862165
huffman;1316.63;181.457;5000000;2837720
huffman;1319.38;172.913;5000000;2791996
huffman;1609.42;179.075;5000000;2826974
huffman;1317.81;178.775;5000000;2821168
huffman;1713.56;179.663;5000000;2877838
huffman;1338.68;177.309;5000000;2833395
huffman;1553.42;181.57;5000000;2854567
huffman;1319.3;174.94;5000000;2798866
huffman;1325.76;185.771;5000000;2868294
huffman;1326.88;179.595;5000000;2827910
huffman;1319.47;181.052;5000000;2827228
huffman;1327.23;186.771;5000000;2873138
huffman;1324.63;181.089;5000000;2838934
huffman;1318.88;183.803;5000000;2858015
huffman;1332.46;178.451;5000000;2851022
huffman;1629.44;180.69;5000000;2843149
huffman;1468.63;178.443;5000000;2831062
huffman;1326.87;181.254;5000000;2825861
huffman;1335.81;177.645;5000000;2851666
huffman;1979.01;214.595;6000000;3400942
huffman;1983.82;215.723;6000000;3384890
huffman;1847.29;208.841;6000000;3427013
huffman;1594.28;214.245;6000000;3392672
huffman;1706.72;217.279;6000000;3414582
huffman;1716.32;213.381;6000000;3394348
huffman;1586.38;210.871;6000000;3371090
huffman;1596.51;219.196;6000000;3419186
huffman;1638.83;210.993;6000000;3428696
huffman;1883.09;222.012;6000000;3456956
huffman;1581.4;217.283;6000000;3397751
huffman;1589.72;217.986;6000000;3401471
huffman;1605.87;213.829;6000000;3419362
huffman;1595.01;215.237;6000000;3426538
huffman;1746.24;214.487;6000000;3419485
huffman;1599.22;216.239;6000000;3399384
huffman;1951.32;215.318;6000000;3398527
huffman;1592.74;220.922;6000000;3428111
huffman;1684.07;211.164;6000000;3396558
