Tipo de compresión;Tiempo de compresión;Tiempo de descompresión;Tamaño original;Tamaño comprimido
lz77;10183.9;16.4249;1000000;651175
lz77;9383.93;14.3492;1000000;617100
lz77;9850.01;14.8985;1000000;639620
lz77;10203.1;14.898;1000000;654150
lz77;10164.1;17.2025;1000000;656615
lz77;10330.3;17.7452;1000000;672390
lz77;9351.4;13.9411;1000000;607400
lz77;10118.4;14.6465;1000000;654055
lz77;10129.3;14.6041;1000000;654425
lz77;8909.54;13.6018;1000000;595140
lz77;9726.38;14.3357;1000000;634515
lz77;10085.4;17.1294;1000000;658880
lz77;10157.8;17.3262;1000000;666660
lz77;10474.5;17.3479;1000000;674885
lz77;9673.39;14.198;1000000;624010
lz77;10283.5;17.4982;1000000;669975
lz77;10053.5;14.5494;1000000;648965
lz77;11547.8;19.1008;1000000;769275
lz77;9004.94;13.6484;1000000;593650
lz77;9832.28;14.2994;1000000;631115
lz77;19978.8;31.6612;2000000;1269495
lz77;18291.7;27.3179;2000000;1150945
lz77;20191.4;29.4863;2000000;1295340
lz77;18901.5;27.7254;2000000;1189675
lz77;19638.5;28.6784;2000000;1241580
lz77;18359.8;27.6776;2000000;1166860
lz77;20490.6;29.196;2000000;1292190
lz77;19820.1;28.9095;2000000;1267145
lz77;19180;28.4152;2000000;1209480
lz77;20319.8;29.1815;2000000;1263160
lz77;20273.8;29.223;2000000;1275000
lz77;18782.7;27.9139;2000000;1184405
lz77;19560.6;28.4115;2000000;1224710
lz77;20019.3;29.1435;2000000;1269075
lz77;19424.7;28.371;2000000;1236205
lz77;19738.5;28.7364;2000000;1257255
lz77;19385.3;28.5305;2000000;1246170
lz77;19741.3;28.8025;2000000;1245570
lz77;19792.1;28.7232;2000000;1251805
lz77;19857.5;29.1342;2000000;1261795
lz77;27950.4;43.2678;3000000;1745355
lz77;29081.8;44.4392;3000000;1822695
lz77;27788.2;43.4334;3000000;1734850
lz77;28732.3;44.2512;3000000;1787615
lz77;24572.2;41.257;3000000;1585105
lz77;28954.4;44.2339;3000000;1811480
lz77;29365.3;45.2617;3000000;1823620
lz77;30035.2;45.7967;3000000;1881475
lz77;29379.1;44.7104;3000000;1813505
lz77;28350;43.7003;3000000;1775345
lz77;27558.5;43.414;3000000;1731965
lz77;28309.5;43.675;3000000;1737665
lz77;28974.4;44.806;3000000;1818535
lz77;28665.8;44.5906;3000000;1800330
lz77;29080.7;45.2503;3000000;1823705
lz77;19376.5;34.598;3000000;1309990
lz77;29800.6;45.0907;3000000;1852960
lz77;29121.5;44.9729;3000000;1819530
lz77;29822.9;45.1462;3000000;1863120
lz77;28276.7;43.826;3000000;1775470
lz77;36266.1;54.6303;4000000;2261485
lz77;39848.2;56.9882;4000000;2440310
lz77;38851.3;56.1131;4000000;2353775
lz77;39662.3;57.3689;4000000;2435100
lz77;37081.5;55.0741;4000000;2302875
lz77;37691.9;55.2429;4000000;2327340
lz77;30813.1;49.7811;4000000;1960790
lz77;38374.4;55.9026;4000000;2344600
lz77;34819.3;52.8862;4000000;2170375
lz77;37461.7;55.1863;4000000;2319350
lz77;36591.2;54.7149;4000000;2264915
lz77;31829.8;50.7198;4000000;2025640
lz77;36154;54.131;4000000;2241990
lz77;37919.2;56.5432;4000000;2364180
lz77;37259.2;54.3241;4000000;2266075
lz77;36943.7;54.659;4000000;2268240
lz77;37418.8;55.8304;4000000;2339170
lz77;38078.4;56.797;4000000;2377785
lz77;33822.2;52.8156;4000000;2142155
lz77;36428.9;56.8841;4000000;2237055
lz77;46525.5;86.481;5000000;2836905
lz77;44670.1;87.0498;5000000;2735105
lz77;33966.3;65.5261;5000000;2220485
lz77;47785.3;77.571;5000000;2880230
lz77;45764.1;84.792;5000000;2776420
lz77;38027.1;68.7819;5000000;2395345
lz77;47588.1;78.4009;5000000;2919490
lz77;47951.4;85.6027;5000000;2890890
lz77;45919.7;84.6582;5000000;2829320
lz77;40165.7;67.7699;5000000;2530985
lz77;46510.9;88.5384;5000000;2829910
lz77;46426.6;87.8032;5000000;2832475
lz77;47402.1;96.2643;5000000;2931275
lz77;41770.2;83.4429;5000000;2570065
lz77;47004.5;87.9199;5000000;2890165
lz77;44789.8;85.4947;5000000;2774560
lz77;44811.6;83.8323;5000000;2725750
lz77;47777;88.774;5000000;2911520
lz77;46221.5;77.3039;5000000;2826675
lz77;39467.9;71.7045;5000000;2497775
lz77;52064.7;93.0179;6000000;3186010
lz77;51536.1;91.4838;6000000;3116425
lz77;46425.5;89.9829;6000000;2929950
lz77;54807.5;97.4677;6000000;3336625
lz77;53856.8;97.208;6000000;3288995
lz77;54052.1;97.6086;6000000;3327195
lz77;53512.6;95.2474;6000000;3244440
lz77;53960.8;99.4959;6000000;3326455
lz77;53440.1;97.9458;6000000;3300650
lz77;57515.8;104.013;6000000;3450000
lz77;54816.5;97.3528;6000000;3345720
lz77;55948.6;99.4439;6000000;3437810
lz77;55607;100.027;6000000;3387325
lz77;41201.2;88.0499;6000000;2712845
lz77;56559.4;96.9331;6000000;3416460
lz77;55126.1;98.1298;6000000;3369070
lz77;56804.1;97.2839;6000000;3385955
lz77;55990.1;99.1781;6000000;3403670
lz77;53413.9;94.7245;6000000;3243285
lz77;36190;67.9254;6000000;2393730
lz77;43154.9;89.1097;7000000;2829815
lz77;45713.5;82.1458;7000000;2985120
lz77;65569.4;112.915;7000000;3874295
lz77;63057.8;104.57;7000000;3820930
lz77;58807.5;92.0523;7000000;3649495
lz77;54628.1;108.499;7000000;3434115
lz77;64543.8;103.311;7000000;3897120
lz77;59875.8;93.7755;7000000;3704875
lz77;58991.5;103.606;7000000;3657755
lz77;58416.1;101.73;7000000;3578780
lz77;60312;101.065;7000000;3648645
lz77;63161.9;102.685;7000000;3806620
lz77;66284.7;101.378;7000000;3957520
lz77;66659.9;102.345;7000000;3971205
lz77;63659.3;102.675;7000000;3848635
lz77;66258.9;101.763;7000000;3986615
lz77;63399;102.236;7000000;3825600
lz77;64786.4;102.441;7000000;3915655
lz77;66201.7;101.405;7000000;3979165
lz77;65538.5;103.346;7000000;3884270
lz77;75036.8;108.653;8000000;4430235
lz77;64722.5;102.623;8000000;3934210
lz77;68903.8;104.61;8000000;4175980
lz77;73734.3;109.368;8000000;4469435
lz77;71117.5;108.955;8000000;4334655
lz77;73384.6;110.497;8000000;4402650
lz77;71654.2;107.957;8000000;4300545
lz77;67009.6;102.377;8000000;4085300
lz77;70277.7;105.919;8000000;4237590
lz77;73704.5;108.49;8000000;4389875
lz77;69867.2;105.562;8000000;4222855
lz77;71483.5;107.867;8000000;4335640
lz77;74645.9;109.58;8000000;4455745
lz77;71918.6;108.023;8000000;4376075
lz77;66384;103.368;8000000;4070285
lz77;73657.8;108.582;8000000;4426875
lz77;43560;100.082;8000000;2990450
lz77;68104.1;116.073;8000000;4192760
lz77;74951.1;109.237;8000000;4427450
lz77;62594.2;101.279;8000000;3916840
lz77;82649;119.392;9000000;4970995
lz77;64741.2;105.216;9000000;4084145
lz77;80590.1;118.412;9000000;4872595
lz77;81171.3;117.392;9000000;4867140
lz77;82351;118.842;9000000;4957365
lz77;77799;115.84;9000000;4743950
lz77;85749.9;121.678;9000000;5054930
lz77;79870.2;118.389;9000000;4838750
lz77;81381.3;118.715;9000000;4905190
lz77;80780.2;118.245;9000000;4859145
lz77;82519.7;119.141;9000000;4923050
lz77;71903.1;109.809;9000000;4406160
lz77;81972.2;119.321;9000000;4882485
lz77;73732.7;109.912;9000000;4472065
lz77;81330.1;120.055;9000000;4929935
lz77;78355.4;114.543;9000000;4689945
lz77;86307.9;122.126;9000000;5064490
lz77;81034.2;119.438;9000000;4919475
lz77;78086.8;115.137;9000000;4690155
lz77;82298.8;117.977;9000000;4868160
lz77;93032;163.312;10000000;5469470
lz77;91413.5;167.68;10000000;5394610
lz77;85407.5;135.627;10000000;5142020
lz77;94429.4;154.858;10000000;5545910
lz77;91937;151.684;10000000;5420575
lz77;83140;134.167;10000000;5063915
lz77;89499.7;161.483;10000000;5338910
lz77;91131.3;159.478;10000000;5422095
lz77;89535.5;158.905;10000000;5378260
lz77;90270.7;160.151;10000000;5416590
lz77;84654.6;142.718;10000000;5165715
lz77;89521.3;152.397;10000000;5352305
lz77;87768;160.914;10000000;5308120
lz77;90091.1;158.643;10000000;5408085
