Tipo de compresión;Tiempo de compresión;Tiempo de descompresión;Tamaño original;Tamaño comprimido
huffman;28.7247;3.96431;100000;56563
huffman;29.3052;3.89332;100000;57354
huffman;28.7387;3.89301;100000;56255
huffman;28.1882;3.95365;100000;56515
huffman;28.7868;4.04073;100000;56848
huffman;28.4715;3.69421;100000;55679
huffman;31.2431;3.94098;100000;58450
huffman;28.2416;3.67751;100000;55542
huffman;28.5529;3.71949;100000;54945
huffman;28.2797;3.90718;100000;55226
huffman;28.8048;3.98898;100000;55825
huffman;28.8109;3.99362;100000;56765
huffman;28.2226;4.10003;100000;56724
huffman;29.0133;3.9234;100000;57069
huffman;28.2664;4.02156;100000;55870
huffman;28.4355;3.895;100000;57345
huffman;28.5868;3.87776;100000;58198
huffman;28.453;3.90658;100000;56173
huffman;28.324;3.88625;100000;55812
huffman;28.1242;4.08326;100000;57452
huffman;55.9015;7.98199;200000;112809
huffman;56.051;7.49436;200000;113400
huffman;56.5755;8.08066;200000;118358
huffman;55.7704;7.15925;200000;109421
huffman;60.6467;7.6274;200000;114026
huffman;56.2432;7.75623;200000;112922
huffman;56.0689;7.6868;200000;113831
huffman;56.2065;7.89748;200000;115153
huffman;57.1426;7.6469;200000;111151
huffman;55.8777;7.38544;200000;112869
huffman;56.1638;7.89783;200000;114294
huffman;57.4603;7.72674;200000;122924
huffman;55.0401;7.63961;200000;115757
huffman;55.0233;7.18002;200000;110866
huffman;54.6136;7.54512;200000;114952
huffman;53.6536;7.31447;200000;113657
huffman;53.8273;7.60846;200000;112949
huffman;53.5587;7.23414;200000;114202
huffman;58.1405;7.17028;200000;112781
huffman;53.822;7.37562;200000;113412
huffman;89.1358;10.4932;300000;167334
huffman;88.588;10.8944;300000;165910
huffman;81.799;11.0599;300000;173118
huffman;80.2868;10.5904;300000;168402
huffman;80.1312;11.2072;300000;172525
huffman;85.6294;12.0633;300000;168690
huffman;85.8976;11.6648;300000;173246
huffman;83.1029;11.1749;300000;165635
huffman;84.1568;11.6605;300000;167902
huffman;84.221;11.5036;300000;170534
huffman;88.0637;11.3624;300000;167478
huffman;83.5712;11.6527;300000;170725
huffman;86.5404;12.2403;300000;173068
huffman;94.6187;12.3451;300000;180848
huffman;95.816;11.4665;300000;169285
huffman;82.1713;11.0044;300000;167219
huffman;80.836;10.7956;300000;174488
huffman;87.7628;11.5705;300000;177004
huffman;80.4657;10.9574;300000;170783
huffman;79.9498;10.9268;300000;167811
huffman;107.85;14.3878;400000;224837
huffman;114.709;14.6264;400000;228060
huffman;105.962;14.442;400000;224495
huffman;105.72;14.6774;400000;223079
huffman;105.983;14.4439;400000;226888
huffman;106.646;14.1173;400000;222343
huffman;106.905;14.2323;400000;225397
huffman;105.579;13.9672;400000;224036
huffman;106.059;15.0788;400000;225402
huffman;110.003;14.6906;400000;229504
huffman;106.947;14.8297;400000;225455
huffman;106.031;14.7027;400000;227007
huffman;106.459;13.869;400000;223999
huffman;107.005;15.2136;400000;239911
huffman;106.411;14.4702;400000;229485
huffman;120.803;14.7919;400000;227442
huffman;106.238;14.87;400000;225725
huffman;106.948;14.7073;400000;223125
huffman;106.694;14.6025;400000;228041
huffman;106.032;14.0623;400000;225874
huffman;133.721;18.638;500000;295023
huffman;159.989;18.5021;500000;282848
huffman;131.622;17.7142;500000;281918
huffman;132.839;17.9607;500000;282925
huffman;134.67;18.0203;500000;284219
huffman;145.767;17.9619;500000;281608
huffman;131.371;17.6583;500000;276529
huffman;146.836;20.2645;500000;300728
huffman;132.121;17.2282;500000;279442
huffman;151.653;18.0557;500000;286824
huffman;133.839;19.0888;500000;295178
huffman;133.008;17.862;500000;281821
huffman;131.164;17.1776;500000;276017
huffman;133.022;18.9291;500000;297077
huffman;131.965;18.8635;500000;283712
huffman;138.28;17.68;500000;278763
huffman;133.017;19.2108;500000;293382
huffman;137.983;18.5785;500000;283907
huffman;132.323;18.0703;500000;282538
huffman;133.038;17.6063;500000;281938
huffman;196.074;22.0194;600000;340048
huffman;158.868;21.9735;600000;343658
huffman;161.077;22.7134;600000;352405
huffman;171.205;21.4788;600000;336959
huffman;159.161;22.3221;600000;342395
huffman;158.811;21.527;600000;334230
huffman;158.266;22.2253;600000;341027
huffman;158.158;21.9219;600000;337840
huffman;159.719;21.1806;600000;336774
huffman;174.727;21.2971;600000;336939
huffman;170.6;21.9005;600000;339278
huffman;163.429;22.209;600000;341100
huffman;159.626;21.5027;600000;334971
huffman;174.053;21.5449;600000;342164
huffman;158.139;21.0009;600000;332924
huffman;159.756;21.4961;600000;337108
huffman;160.351;22.2974;600000;344726
huffman;159.082;22.5737;600000;345684
huffman;158.529;21.1748;600000;337448
huffman;158.268;21.6967;600000;340658
huffman;185.205;26.619;700000;404683
huffman;184.107;24.4222;700000;404262
huffman;184.213;24.1974;700000;391733
huffman;185.121;25.8315;700000;401123
huffman;185.699;25.6677;700000;392452
huffman;184.481;24.6339;700000;399770
huffman;198.635;25.472;700000;397002
huffman;185.544;25.2042;700000;400330
huffman;186.27;26.4487;700000;407889
huffman;198.693;25.9382;700000;399624
huffman;186.145;24.4192;700000;397303
huffman;183.793;24.4079;700000;388021
huffman;185.642;26.2336;700000;413186
huffman;201.073;25.2631;700000;393702
huffman;202.169;24.5148;700000;390096
huffman;198.781;26.213;700000;401925
huffman;185.494;24.9918;700000;395927
huffman;184.81;25.0785;700000;393759
huffman;194.675;25.295;700000;398656
huffman;185.074;25.1747;700000;400823
huffman;218.484;30.9298;800000;454369
huffman;221.077;29.7932;800000;446442
huffman;266.163;29.9448;800000;452603
huffman;246.859;30.6205;800000;453378
huffman;216.25;30.6717;800000;473744
huffman;240.527;28.782;800000;450446
huffman;234.075;28.8232;800000;457944
huffman;214.676;30.8024;800000;456648
huffman;221.562;30.5746;800000;453226
huffman;237.381;32.2576;800000;474765
huffman;220.292;29.3211;800000;444746
huffman;221.793;29.2178;800000;448462
huffman;239.899;28.8192;800000;468828
huffman;218.355;28.8648;800000;457790
huffman;215.586;29.64;800000;451284
huffman;219.862;27.422;800000;449637
huffman;210.436;29.0435;800000;454539
huffman;213.696;29.5446;800000;455193
huffman;216.017;29.1854;800000;457281
huffman;217.249;29.0179;800000;450196
huffman;255.466;31.7203;900000;522786
huffman;267.071;32.856;900000;505111
huffman;237.209;32.3463;900000;510555
huffman;236.738;31.5301;900000;506602
huffman;240.062;32.968;900000;516805
huffman;239.357;34.5995;900000;531891
huffman;239.21;33.1062;900000;512890
huffman;266.993;31.5212;900000;516124
huffman;290.567;32.8105;900000;510073
huffman;236.546;31.6142;900000;505919
huffman;258.97;31.9916;900000;512920
huffman;284.042;32.2089;900000;508080
huffman;240.528;31.8363;900000;508867
huffman;237.523;32.5627;900000;518785
huffman;237.803;31.6458;900000;499424
huffman;236.351;30.8333;900000;505051
huffman;266.387;32.2025;900000;507257
huffman;237.048;31.3347;900000;503192
huffman;236.428;32.0903;900000;510890
huffman;238.172;32.3241;900000;514570
huffman;261.926;36.1443;1000000;565352
huffman;263.899;36.3466;1000000;573581
huffman;262.818;35.5726;1000000;569170
huffman;265.344;36.2203;1000000;564834
