Tipo de compresión;Tiempo de compresión;Tiempo de descompresión;Tamaño original;Tamaño comprimido
lz77;1373.95;2.34737;100000;96560
lz77;1212.27;2.26641;100000;86105
lz77;1197.84;2.15749;100000;85660
lz77;1299.56;2.22456;100000;91015
lz77;1270.37;2.2862;100000;91685
lz77;1274.89;2.29365;100000;89980
lz77;1339.23;2.52565;100000;96295
lz77;1206.7;2.17504;100000;85315
lz77;1219.11;2.19525;100000;85735
lz77;1193.86;2.24795;100000;84295
lz77;1234.82;2.16906;100000;86815
lz77;1106.54;1.77466;100000;78595
lz77;1256.11;2.20586;100000;88995
lz77;1271.08;2.21854;100000;90570
lz77;1281.68;2.36673;100000;91695
lz77;1261.71;2.32811;100000;89760
lz77;1277.77;2.24815;100000;91965
lz77;1293;2.3397;100000;92520
lz77;1317.55;2.72869;100000;94395
lz77;1268.24;2.19393;100000;90760
lz77;2382.56;4.14705;200000;164215
lz77;2316.7;3.51034;200000;159150
lz77;2519.78;4.48073;200000;177680
lz77;1661.54;2.91016;200000;117160
lz77;2466.14;5.78715;200000;171120
lz77;2376.7;4.15418;200000;164590
lz77;2309.75;3.55075;200000;158720
lz77;2312.78;3.4886;200000;158950
lz77;2326.46;3.6176;200000;159395
lz77;2040.87;3.26697;200000;141030
lz77;2333.81;3.55642;200000;161630
lz77;2158.54;3.50679;200000;157690
lz77;2515.38;4.4257;200000;177570
lz77;2280.44;3.50615;200000;157630
lz77;2303.95;3.70283;200000;162160
lz77;2450.87;4.33557;200000;171675
lz77;2151.28;3.41009;200000;148790
lz77;2447.39;4.35214;200000;172020
lz77;2250.89;3.37494;200000;154985
lz77;2344.51;3.62782;200000;162695
lz77;3445.67;5.46823;300000;235650
lz77;3411.73;5.4688;300000;230680
lz77;3254.67;5.27947;300000;221725
lz77;3409.26;5.45043;300000;231325
lz77;3325.64;5.33531;300000;226510
lz77;3127.32;5.23304;300000;214720
lz77;3462.23;5.61849;300000;240350
lz77;2711.08;4.80074;300000;184510
lz77;3090.52;5.19063;300000;209675
lz77;3404.26;5.57834;300000;233930
lz77;3070.28;5.0366;300000;206070
lz77;3427.87;5.59271;300000;236100
lz77;3646.15;5.73501;300000;250895
lz77;3357.85;5.33753;300000;228200
lz77;3502;5.55235;300000;239305
lz77;3355.39;5.42514;300000;228830
lz77;2896.46;4.94732;300000;195980
lz77;3949.91;6.08243;300000;276265
lz77;3402.2;5.45791;300000;230065
lz77;3555.29;5.60404;300000;241135
lz77;4259.06;6.49388;400000;284725
lz77;4556.82;7.1522;400000;307900
lz77;3776.47;5.94333;400000;254705
lz77;4385.01;6.49993;400000;293835
lz77;4379.67;6.57055;400000;293035
lz77;4115.79;6.37884;400000;277775
lz77;4292.35;6.57042;400000;287500
lz77;4545.04;6.81173;400000;308830
lz77;4589.36;6.74647;400000;308860
lz77;4688.34;6.98161;400000;319445
lz77;4382.35;6.5049;400000;292490
lz77;4531.78;6.68133;400000;309685
lz77;4071.72;6.23296;400000;271620
lz77;5130.8;8.76236;400000;354290
lz77;4499.71;6.70234;400000;301140
lz77;4303.78;6.44351;400000;288730
lz77;4350.86;6.48851;400000;289985
lz77;4311.72;6.45258;400000;287525
lz77;4047.07;6.31549;400000;276275
lz77;4067.62;6.13312;400000;270215
lz77;5812.66;9.70557;500000;394590
lz77;5839.68;9.77284;500000;388870
lz77;5373.27;9.08582;500000;356560
lz77;5158.93;8.82119;500000;344045
lz77;5631.98;9.51074;500000;377800
lz77;5327.28;8.92665;500000;351115
